destination_iso_country,Day of date,psg_ranking,psg_wow_change,psg_yoy_change,destination_country,passengers_number_7days
FM,"November 10, 2021",4,33.33%,-78.01%,Micronesia (Federated States of),664
FJ,"November 10, 2021",2,-9.81%,-76.30%,Fiji,6132
WS,"November 11, 2021",5,652.63%,-87.45%,Samoa,572
VU,"November 11, 2021",3,-10.74%,-64.11%,Vanuatu,2910
TO,"November 11, 2021",6,87.64%,-81.10%,Tonga,516
SB,"November 11, 2021",7,-40.67%,-83.04%,Solomon Islands,458
PW,"November 11, 2021",10,-35.51%,-88.46%,Palau,276
PG,"November 11, 2021",1,-0.75%,3.35%,Papua New Guinea,35763
NR,"November 11, 2021",8,41.30%,3.17%,Nauru,390
MH,"November 11, 2021",9,-33.33%,-70.88%,Marshall Islands (the),332
FM,"November 11, 2021",4,100.00%,-65.36%,Micronesia (Federated States of),996
FJ,"November 11, 2021",2,-13.39%,-77.45%,Fiji,5692
WS,"November 12, 2021",5,652.63%,-87.45%,Samoa,572
VU,"November 12, 2021",3,-10.13%,-65.69%,Vanuatu,2840
TO,"November 12, 2021",6,87.64%,-81.10%,Tonga,516
SB,"November 12, 2021",8,-40.67%,-83.04%,Solomon Islands,458
PW,"November 12, 2021",10,-35.51%,-89.12%,Palau,276
PG,"November 12, 2021",1,-2.69%,7.59%,Papua New Guinea,35752
NR,"November 12, 2021",7,85.51%,35.45%,Nauru,512
MH,"November 12, 2021",9,-33.33%,-70.88%,Marshall Islands (the),332
FM,"November 12, 2021",4,100.00%,-65.71%,Micronesia (Federated States of),996
FJ,"November 12, 2021",2,-4.85%,-77.33%,Fiji,5901
WS,"November 13, 2021",5,62.96%,-87.40%,Samoa,572
VU,"November 13, 2021",3,-7.69%,-65.21%,Vanuatu,2880
TO,"November 13, 2021",6,87.64%,-81.10%,Tonga,516
SB,"November 13, 2021",8,-5.37%,-83.04%,Solomon Islands,458
PW,"November 13, 2021",10,2.22%,-89.79%,Palau,276
PG,"November 13, 2021",1,1.04%,10.82%,Papua New Guinea,36633
NR,"November 13, 2021",7,287.88%,35.45%,Nauru,512
MH,"November 13, 2021",9,-33.33%,-65.91%,Marshall Islands (the),332
FM,"November 13, 2021",4,133.33%,-57.58%,Micronesia (Federated States of),1162
FJ,"November 13, 2021",2,-10.70%,-77.73%,Fiji,5756
WS,"November 14, 2021",5,62.96%,-86.93%,Samoa,572
VU,"November 14, 2021",3,-8.39%,-64.65%,Vanuatu,2950
TO,"November 14, 2021",9,-38.24%,-88.95%,Tonga,302
SB,"November 14, 2021",7,-5.37%,-83.04%,Solomon Islands,458
PW,"November 14, 2021",10,0.00%,-89.06%,Palau,276
PG,"November 14, 2021",1,2.68%,11.85%,Papua New Guinea,37022
NR,"November 14, 2021",6,287.88%,34.74%,Nauru,512
MH,"November 14, 2021",8,-33.33%,-70.93%,Marshall Islands (the),332
FM,"November 14, 2021",4,122.49%,-57.30%,Micronesia (Federated States of),1108
FJ,"November 14, 2021",2,4.73%,-75.06%,Fiji,6373
WS,"November 15, 2021",9,-53.47%,-94.10%,Samoa,275
VU,"November 15, 2021",3,9.30%,-60.28%,Vanuatu,3290
TO,"November 15, 2021",8,-38.24%,-88.95%,Tonga,302
SB,"November 15, 2021",6,-5.37%,-82.38%,Solomon Islands,458
PW,"November 15, 2021",7,54.35%,-83.12%,Palau,426
PG,"November 15, 2021",1,7.42%,15.58%,Papua New Guinea,38057
NR,"November 15, 2021",5,287.88%,33.33%,Nauru,512
MH,"November 15, 2021",10,-50.00%,-84.74%,Marshall Islands (the),166
FM,"November 15, 2021",4,192.37%,-48.35%,Micronesia (Federated States of),1456
FJ,"November 15, 2021",2,14.23%,-74.12%,Fiji,6638
WS,"November 16, 2021",5,40.10%,-81.38%,Samoa,828
VU,"November 16, 2021",3,34.43%,-54.67%,Vanuatu,3670
TO,"November 16, 2021",9,-41.47%,-88.98%,Tonga,302
SB,"November 16, 2021",7,-5.37%,-84.70%,Solomon Islands,458
PW,"November 16, 2021",8,54.35%,-85.21%,Palau,426
PG,"November 16, 2021",1,10.91%,18.38%,Papua New Guinea,39065
NR,"November 16, 2021",6,287.88%,0.39%,Nauru,512
MH,"November 16, 2021",10,-14.46%,-73.94%,Marshall Islands (the),284
FM,"November 16, 2021",4,94.28%,-50.65%,Micronesia (Federated States of),1290
FJ,"November 16, 2021",2,30.31%,-72.45%,Fiji,7275
WS,"November 17, 2021",5,44.76%,-81.46%,Samoa,828
VU,"November 17, 2021",3,42.19%,-53.25%,Vanuatu,3640
TO,"November 17, 2021",7,-41.47%,-88.98%,Tonga,302
SB,"November 17, 2021",6,45.86%,-83.97%,Solomon Islands,458
PW,"November 17, 2021",9,-2.90%,-90.70%,Palau,268
PG,"November 17, 2021",1,13.89%,18.85%,Papua New Guinea,40166
NR,"November 17, 2021",10,-34.87%,-60.19%,Nauru,254
MH,"November 17, 2021",8,-14.46%,-76.29%,Marshall Islands (the),284
FM,"November 17, 2021",4,94.28%,-50.65%,Micronesia (Federated States of),1290
FJ,"November 17, 2021",2,23.48%,-71.64%,Fiji,7572
WS,"November 18, 2021",5,44.76%,-81.38%,Samoa,828
VU,"November 18, 2021",3,18.90%,-53.94%,Vanuatu,3460
TO,"November 18, 2021",7,-41.47%,-88.98%,Tonga,302
SB,"November 18, 2021",6,-31.44%,-89.51%,Solomon Islands,314
PW,"November 18, 2021",9,-2.90%,-90.81%,Palau,268
PG,"November 18, 2021",1,11.66%,19.75%,Papua New Guinea,39934
NR,"November 18, 2021",10,-34.87%,-77.91%,Nauru,254
MH,"November 18, 2021",8,-14.46%,-77.67%,Marshall Islands (the),284
FM,"November 18, 2021",4,-3.82%,-66.87%,Micronesia (Federated States of),958
FJ,"November 18, 2021",2,42.60%,-70.99%,Fiji,8117
WS,"November 19, 2021",5,44.76%,-81.30%,Samoa,828
VU,"November 19, 2021",3,21.83%,-53.49%,Vanuatu,3460
TO,"November 19, 2021",7,-41.47%,-89.37%,Tonga,302
SB,"November 19, 2021",6,-31.44%,-89.01%,Solomon Islands,314
PW,"November 19, 2021",9,-2.90%,-90.64%,Palau,268
PG,"November 19, 2021",1,11.70%,19.47%,Papua New Guinea,39935
NR,"November 19, 2021",10,-74.22%,-89.67%,Nauru,132
MH,"November 19, 2021",8,-14.46%,-77.67%,Marshall Islands (the),284
FM,"November 19, 2021",4,-3.82%,-67.53%,Micronesia (Federated States of),958
FJ,"November 19, 2021",2,44.25%,-70.03%,Fiji,8512
WS,"November 20, 2021",4,97.55%,-73.65%,Samoa,1130
VU,"November 20, 2021",3,18.75%,-54.03%,Vanuatu,3420
TO,"November 20, 2021",7,-41.47%,-89.60%,Tonga,302
SB,"November 20, 2021",6,-31.44%,-89.01%,Solomon Islands,314
PW,"November 20, 2021",9,-2.90%,-90.76%,Palau,268
PG,"November 20, 2021",1,8.91%,18.78%,Papua New Guinea,39896
NR,"November 20, 2021",10,-48.44%,-79.34%,Nauru,264
MH,"November 20, 2021",8,-14.46%,-80.25%,Marshall Islands (the),284
FM,"November 20, 2021",5,-36.49%,-76.32%,Micronesia (Federated States of),738
FJ,"November 20, 2021",2,59.36%,-68.74%,Fiji,9173
WS,"November 21, 2021",4,97.55%,-76.22%,Samoa,1130
VU,"November 21, 2021",3,7.80%,-57.26%,Vanuatu,3180
TO,"November 21, 2021",7,0.00%,-89.60%,Tonga,302
SB,"November 21, 2021",6,-31.44%,-88.46%,Solomon Islands,314
PW,"November 21, 2021",10,-5.07%,-91.57%,Palau,262
PG,"November 21, 2021",1,10.95%,23.61%,Papua New Guinea,41077
NR,"November 21, 2021",9,-48.44%,-79.34%,Nauru,264
MH,"November 21, 2021",8,-14.46%,-77.67%,Marshall Islands (the),284
FM,"November 21, 2021",5,-32.85%,-77.70%,Micronesia (Federated States of),744
FJ,"November 21, 2021",2,46.81%,-68.90%,Fiji,9356
WS,"November 22, 2021",4,310.91%,-73.90%,Samoa,1130
VU,"November 22, 2021",3,-13.68%,-62.18%,Vanuatu,2840
TO,"November 22, 2021",8,0.00%,-89.60%,Tonga,302
SB,"November 22, 2021",7,-31.44%,-88.77%,Solomon Islands,314
PW,"November 22, 2021",10,-73.71%,-96.34%,Palau,112
PG,"November 22, 2021",1,8.13%,28.89%,Papua New Guinea,41150
NR,"November 22, 2021",9,-48.44%,-79.34%,Nauru,264
MH,"November 22, 2021",5,142.17%,-69.68%,Marshall Islands (the),402
FM,"November 22, 2021",6,-72.80%,-87.28%,Micronesia (Federated States of),396
FJ,"November 22, 2021",2,43.96%,-69.19%,Fiji,9556
WS,"November 23, 2021",4,-30.31%,-87.30%,Samoa,577
VU,"November 23, 2021",3,-26.43%,-64.58%,Vanuatu,2700
TO,"November 23, 2021",7,0.00%,-88.95%,Tonga,302
SB,"November 23, 2021",6,-31.44%,-87.52%,Solomon Islands,314
PW,"November 23, 2021",10,-73.71%,-96.34%,Palau,112
PG,"November 23, 2021",1,6.65%,31.12%,Papua New Guinea,41663
NR,"November 23, 2021",9,-48.44%,-79.38%,Nauru,264
MH,"November 23, 2021",8,0.00%,-78.58%,Marshall Islands (the),284
FM,"November 23, 2021",5,-73.49%,-89.26%,Micronesia (Federated States of),342
FJ,"November 23, 2021",2,30.12%,-68.70%,Fiji,9466
WS,"November 24, 2021",4,-30.31%,-86.83%,Samoa,577
VU,"November 24, 2021",3,-20.05%,-62.78%,Vanuatu,2910
TO,"November 24, 2021",8,0.00%,-88.95%,Tonga,302
SB,"November 24, 2021",7,-31.44%,-87.73%,Solomon Islands,314
PW,"November 24, 2021",9,1.49%,-91.11%,Palau,272
PG,"November 24, 2021",1,2.93%,28.06%,Papua New Guinea,41342
NR,"November 24, 2021",5,53.54%,-72.30%,Nauru,390
MH,"November 24, 2021",10,-19.01%,-81.12%,Marshall Islands (the),230
FM,"November 24, 2021",6,-73.49%,-89.07%,Micronesia (Federated States of),342
FJ,"November 24, 2021",2,22.02%,-69.48%,Fiji,9239
WS,"November 25, 2021",4,-30.31%,-87.46%,Samoa,577
VU,"November 25, 2021",3,-21.68%,-66.13%,Vanuatu,2710
TO,"November 25, 2021",7,0.00%,-88.95%,Tonga,302
SB,"November 25, 2021",10,-54.14%,-94.06%,Solomon Islands,144
PW,"November 25, 2021",8,1.49%,-91.11%,Palau,272
PG,"November 25, 2021",1,6.91%,31.05%,Papua New Guinea,42695
NR,"November 25, 2021",5,103.15%,-42.41%,Nauru,516
MH,"November 25, 2021",9,-19.01%,-78.90%,Marshall Islands (the),230
FM,"November 25, 2021",6,-64.30%,-88.25%,Micronesia (Federated States of),342
FJ,"November 25, 2021",2,16.02%,-68.83%,Fiji,9417
WS,"November 26, 2021",4,-30.31%,-86.98%,Samoa,577
VU,"November 26, 2021",3,-23.70%,-67.29%,Vanuatu,2640
TV,"November 26, 2021",12,,-66.67%,Tuvalu,64
TO,"November 26, 2021",6,57.62%,-83.23%,Tonga,476
SB,"November 26, 2021",11,-76.75%,-96.80%,Solomon Islands,73
PW,"November 26, 2021",8,1.49%,-91.27%,Palau,272
PG,"November 26, 2021",1,8.06%,38.54%,Papua New Guinea,43153
NR,"November 26, 2021",5,290.91%,-32.81%,Nauru,516
MH,"November 26, 2021",9,-19.01%,-80.87%,Marshall Islands (the),230
KI,"November 26, 2021",10,,-77.14%,Kiribati,144
FM,"November 26, 2021",7,-64.30%,-87.45%,Micronesia (Federated States of),342
FJ,"November 26, 2021",2,8.98%,-69.12%,Fiji,9276
WS,"November 27, 2021",7,-75.66%,-93.56%,Samoa,275
VU,"November 27, 2021",3,-27.78%,-69.67%,Vanuatu,2470
TV,"November 27, 2021",12,,-66.67%,Tuvalu,64
TO,"November 27, 2021",6,57.62%,-83.23%,Tonga,476
SB,"November 27, 2021",11,-76.75%,-96.99%,Solomon Islands,73
PW,"November 27, 2021",8,1.49%,-91.27%,Palau,272
PG,"November 27, 2021",1,9.25%,43.89%,Papua New Guinea,43588
NR,"November 27, 2021",4,93.18%,-33.59%,Nauru,510
MH,"November 27, 2021",9,-19.01%,-80.87%,Marshall Islands (the),230
KI,"November 27, 2021",10,,-77.14%,Kiribati,144
FM,"November 27, 2021",5,-31.17%,-81.75%,Micronesia (Federated States of),508
FJ,"November 27, 2021",2,-5.15%,-70.58%,Fiji,8701
WS,"November 28, 2021",8,-75.66%,-93.42%,Samoa,275
VU,"November 28, 2021",3,-22.33%,-69.69%,Vanuatu,2470
TV,"November 28, 2021",12,,-66.67%,Tuvalu,64
TO,"November 28, 2021",6,57.62%,-83.26%,Tonga,476
SB,"November 28, 2021",11,-76.75%,-96.99%,Solomon Islands,73
PW,"November 28, 2021",7,6.11%,-90.97%,Palau,278
PG,"November 28, 2021",1,4.22%,42.26%,Papua New Guinea,42811
NR,"November 28, 2021",4,93.18%,-20.31%,Nauru,510
MH,"November 28, 2021",9,-19.01%,-78.58%,Marshall Islands (the),230
KI,"November 28, 2021",10,,-77.14%,Kiribati,144
FM,"November 28, 2021",5,-32.53%,-80.83%,Micronesia (Federated States of),502
FJ,"November 28, 2021",2,-6.32%,-70.70%,Fiji,8765
WS,"November 29, 2021",8,-75.66%,-94.03%,Samoa,275
VU,"November 29, 2021",3,-9.51%,-68.47%,Vanuatu,2570
TV,"November 29, 2021",12,,-75.00%,Tuvalu,64
TO,"November 29, 2021",6,57.62%,-83.26%,Tonga,476
SB,"November 29, 2021",10,-30.89%,-90.77%,Solomon Islands,217
PW,"November 29, 2021",7,148.21%,-91.10%,Palau,278
PG,"November 29, 2021",1,3.87%,36.88%,Papua New Guinea,42743
NR,"November 29, 2021",4,93.18%,32.81%,Nauru,510
MH,"November 29, 2021",9,-44.28%,-79.14%,Marshall Islands (the),224
KI,"November 29, 2021",11,,-77.14%,Kiribati,144
FM,"November 29, 2021",5,26.77%,-80.83%,Micronesia (Federated States of),502
FJ,"November 29, 2021",2,-7.88%,-69.81%,Fiji,8803
WS,"November 30, 2021",5,-22.18%,-89.77%,Samoa,449
VU,"November 30, 2021",3,-2.22%,-67.63%,Vanuatu,2640
TV,"November 30, 2021",12,,-75.00%,Tuvalu,64
TO,"November 30, 2021",7,28.48%,-86.36%,Tonga,388
SB,"November 30, 2021",10,-30.89%,-90.89%,Solomon Islands,217
PW,"November 30, 2021",8,148.21%,-91.10%,Palau,278
PG,"November 30, 2021",1,3.32%,38.09%,Papua New Guinea,43047
NR,"November 30, 2021",4,93.18%,99.22%,Nauru,510
MH,"November 30, 2021",9,-21.13%,-76.32%,Marshall Islands (the),224
KI,"November 30, 2021",11,,-71.31%,Kiribati,144
FM,"November 30, 2021",6,14.04%,-85.31%,Micronesia (Federated States of),390
FJ,"November 30, 2021",2,-1.98%,-68.47%,Fiji,9279
WS,"December 1, 2021",5,-22.18%,-90.11%,Samoa,449
VU,"December 1, 2021",3,-8.25%,-67.27%,Vanuatu,2670
TV,"December 1, 2021",11,,-75.00%,Tuvalu,64
TO,"December 1, 2021",6,28.48%,-86.36%,Tonga,388
SB,"December 1, 2021",8,-30.89%,-91.32%,Solomon Islands,217
PW,"December 1, 2021",10,-56.62%,-96.22%,Palau,118
PG,"December 1, 2021",1,4.52%,37.29%,Papua New Guinea,43212
MH,"December 1, 2021",7,51.30%,-60.81%,Marshall Islands (the),348
KI,"December 1, 2021",9,,-73.53%,Kiribati,144
FM,"December 1, 2021",4,48.54%,-81.61%,Micronesia (Federated States of),508
FJ,"December 1, 2021",2,6.17%,-66.48%,Fiji,9809
WS,"December 2, 2021",4,20.45%,-84.99%,Samoa,695
VU,"December 2, 2021",3,4.43%,-65.31%,Vanuatu,2830
TV,"December 2, 2021",11,,-80.00%,Tuvalu,64
TO,"December 2, 2021",6,28.48%,-86.36%,Tonga,388
SB,"December 2, 2021",8,50.69%,-91.32%,Solomon Islands,217
PW,"December 2, 2021",10,-56.62%,-96.23%,Palau,118
PG,"December 2, 2021",1,0.91%,36.31%,Papua New Guinea,43082
MH,"December 2, 2021",7,51.30%,-63.06%,Marshall Islands (the),348
KI,"December 2, 2021",9,,-73.53%,Kiribati,144
FM,"December 2, 2021",5,83.04%,-78.59%,Micronesia (Federated States of),626
FJ,"December 2, 2021",2,6.19%,-66.76%,Fiji,10000
WS,"December 3, 2021",4,20.45%,-85.55%,Samoa,695
VU,"December 3, 2021",3,10.98%,-63.67%,Vanuatu,2930
TO,"December 3, 2021",8,-55.04%,-92.46%,Tonga,214
SB,"December 3, 2021",7,294.52%,-88.34%,Solomon Islands,288
PW,"December 3, 2021",9,-56.62%,-96.11%,Palau,118
PG,"December 3, 2021",1,-1.70%,34.04%,Papua New Guinea,42418
MH,"December 3, 2021",6,51.30%,-58.07%,Marshall Islands (the),348
FM,"December 3, 2021",5,83.04%,-80.45%,Micronesia (Federated States of),626
FJ,"December 3, 2021",2,18.87%,-63.46%,Fiji,11026
WS,"December 4, 2021",4,162.55%,-85.07%,Samoa,722
VU,"December 4, 2021",3,42.11%,-56.07%,Vanuatu,3510
TO,"December 4, 2021",9,-55.04%,-92.99%,Tonga,214
SB,"December 4, 2021",7,294.52%,-88.48%,Solomon Islands,288
PW,"December 4, 2021",8,1.47%,-90.80%,Palau,276
PG,"December 4, 2021",1,-2.07%,34.17%,Papua New Guinea,42685
MH,"December 4, 2021",6,51.30%,-58.07%,Marshall Islands (the),348
FM,"December 4, 2021",5,-8.27%,-84.35%,Micronesia (Federated States of),466
FJ,"December 4, 2021",2,36.03%,-61.62%,Fiji,11836
WS,"December 5, 2021",4,162.55%,-85.36%,Samoa,722
VU,"December 5, 2021",3,53.04%,-52.27%,Vanuatu,3780
TO,"December 5, 2021",9,-55.04%,-92.99%,Tonga,214
SB,"December 5, 2021",8,294.52%,-88.48%,Solomon Islands,288
PW,"December 5, 2021",7,16.55%,-89.47%,Palau,324
PG,"December 5, 2021",1,0.77%,36.18%,Papua New Guinea,43142
MH,"December 5, 2021",6,51.30%,-58.07%,Marshall Islands (the),348
FM,"December 5, 2021",5,3.59%,-82.54%,Micronesia (Federated States of),520
FJ,"December 5, 2021",2,45.98%,-58.56%,Fiji,12795
WS,"December 6, 2021",4,162.55%,-84.55%,Samoa,722
VU,"December 6, 2021",3,54.09%,-50.44%,Vanuatu,3960
TO,"December 6, 2021",6,8.40%,-83.09%,Tonga,516
SB,"December 6, 2021",10,-33.64%,-94.46%,Solomon Islands,144
PW,"December 6, 2021",7,76.26%,-83.79%,Palau,490
PG,"December 6, 2021",1,3.06%,40.55%,Papua New Guinea,44053
NR,"December 6, 2021",9,-45.88%,109.09%,Nauru,276
MH,"December 6, 2021",8,79.46%,-59.64%,Marshall Islands (the),402
FM,"December 6, 2021",5,3.59%,-80.35%,Micronesia (Federated States of),520
FJ,"December 6, 2021",2,52.50%,-56.77%,Fiji,13425
WS,"December 7, 2021",4,88.20%,-84.02%,Samoa,845
VU,"December 7, 2021",3,55.30%,-49.18%,Vanuatu,4100
TO,"December 7, 2021",8,-22.16%,-90.63%,Tonga,302
SB,"December 7, 2021",10,-33.64%,-94.39%,Solomon Islands,144
PW,"December 7, 2021",6,76.26%,-83.79%,Palau,490
PG,"December 7, 2021",1,2.16%,40.06%,Papua New Guinea,43977
NR,"December 7, 2021",9,-45.88%,109.09%,Nauru,276
MH,"December 7, 2021",7,79.46%,-59.64%,Marshall Islands (the),402
FM,"December 7, 2021",5,104.62%,-63.29%,Micronesia (Federated States of),798
FJ,"December 7, 2021",2,54.45%,-54.52%,Fiji,14331
WS,"December 8, 2021",4,88.20%,-84.98%,Samoa,845
VU,"December 8, 2021",3,43.45%,-52.14%,Vanuatu,3830
TO,"December 8, 2021",8,-22.16%,-90.63%,Tonga,302
SB,"December 8, 2021",10,-33.64%,-94.11%,Solomon Islands,144
PW,"December 8, 2021",6,449.15%,-78.31%,Palau,648
PG,"December 8, 2021",1,0.69%,41.32%,Papua New Guinea,43510
NR,"December 8, 2021",7,5.21%,5.21%,Nauru,404
MH,"December 8, 2021",9,-20.11%,-72.09%,Marshall Islands (the),278
FM,"December 8, 2021",5,55.91%,-57.89%,Micronesia (Federated States of),792
FJ,"December 8, 2021",2,52.55%,-52.48%,Fiji,14964
WS,"December 9, 2021",6,-13.81%,-88.44%,Samoa,599
VU,"December 9, 2021",3,33.22%,-52.91%,Vanuatu,3770
TV,"December 9, 2021",11,0.00%,-66.67%,Tuvalu,64
TO,"December 9, 2021",9,-22.16%,-91.21%,Tonga,302
SB,"December 9, 2021",8,46.54%,-86.98%,Solomon Islands,318
PW,"December 9, 2021",5,449.15%,-78.18%,Palau,648
PG,"December 9, 2021",1,2.10%,45.96%,Papua New Guinea,43988
NR,"December 9, 2021",7,105.43%,-16.67%,Nauru,530
MH,"December 9, 2021",10,-20.11%,-76.44%,Marshall Islands (the),278
FM,"December 9, 2021",4,7.67%,-51.27%,Micronesia (Federated States of),674
FJ,"December 9, 2021",2,53.52%,-51.53%,Fiji,15352
WS,"December 10, 2021",4,29.64%,-83.42%,Samoa,901
VU,"December 10, 2021",3,38.23%,-49.59%,Vanuatu,4050
TV,"December 10, 2021",11,,-33.33%,Tuvalu,128
TO,"December 10, 2021",9,41.12%,-90.83%,Tonga,302
SB,"December 10, 2021",8,10.42%,-87.84%,Solomon Islands,318
PW,"December 10, 2021",6,449.15%,-78.44%,Palau,648
PG,"December 10, 2021",1,6.57%,47.26%,Papua New Guinea,45203
NR,"December 10, 2021",7,54.26%,-47.77%,Nauru,398
MH,"December 10, 2021",10,-20.11%,-76.44%,Marshall Islands (the),278
FM,"December 10, 2021",5,7.67%,-42.74%,Micronesia (Federated States of),674
FJ,"December 10, 2021",2,40.08%,-51.61%,Fiji,15445
WS,"December 11, 2021",6,-17.04%,-88.96%,Samoa,599
VU,"December 11, 2021",3,6.84%,-53.40%,Vanuatu,3750
TV,"December 11, 2021",11,,0.00%,Tuvalu,128
TO,"December 11, 2021",9,41.12%,-90.83%,Tonga,302
SB,"December 11, 2021",7,60.42%,-81.09%,Solomon Islands,462
PW,"December 11, 2021",5,134.78%,-78.60%,Palau,648
PG,"December 11, 2021",1,4.89%,47.28%,Papua New Guinea,44774
NR,"December 11, 2021",8,201.52%,-47.77%,Nauru,398
MH,"December 11, 2021",10,-20.11%,-76.44%,Marshall Islands (the),278
FM,"December 11, 2021",4,54.94%,-38.66%,Micronesia (Federated States of),722
FJ,"December 11, 2021",2,30.25%,-52.08%,Fiji,15416
WS,"December 12, 2021",6,-17.04%,-89.38%,Samoa,599
VU,"December 12, 2021",3,-3.44%,-55.04%,Vanuatu,3650
TV,"December 12, 2021",11,,0.00%,Tuvalu,128
TO,"December 12, 2021",10,41.12%,-90.81%,Tonga,302
SB,"December 12, 2021",7,60.42%,-81.09%,Solomon Islands,462
PW,"December 12, 2021",5,100.00%,-78.31%,Palau,648
PG,"December 12, 2021",1,3.56%,47.36%,Papua New Guinea,44676
NR,"December 12, 2021",9,201.52%,-55.18%,Nauru,398
MH,"December 12, 2021",8,28.74%,-65.70%,Marshall Islands (the),448
FM,"December 12, 2021",4,29.62%,-39.98%,Micronesia (Federated States of),674
FJ,"December 12, 2021",2,24.48%,-50.38%,Fiji,15927
WS,"December 13, 2021",5,-17.04%,-89.69%,Samoa,599
VU,"December 13, 2021",3,-12.37%,-56.44%,Vanuatu,3470
TV,"December 13, 2021",11,,0.00%,Tuvalu,128
TO,"December 13, 2021",9,-41.47%,-91.37%,Tonga,302
SB,"December 13, 2021",8,220.83%,-80.87%,Solomon Islands,462
PW,"December 13, 2021",7,-1.63%,-84.36%,Palau,482
PG,"December 13, 2021",1,1.35%,46.67%,Papua New Guinea,44649
NR,"December 13, 2021",10,-7.97%,-74.95%,Nauru,254
MH,"December 13, 2021",6,28.86%,-52.30%,Marshall Islands (the),518
FM,"December 13, 2021",4,29.62%,-39.98%,Micronesia (Federated States of),674
FJ,"December 13, 2021",2,18.83%,-50.04%,Fiji,15953
WS,"December 14, 2021",9,-59.76%,-93.83%,Samoa,340
VU,"December 14, 2021",3,-14.63%,-56.98%,Vanuatu,3500
TV,"December 14, 2021",11,,0.00%,Tuvalu,128
TO,"December 14, 2021",10,0.00%,-91.77%,Tonga,302
SB,"December 14, 2021",4,420.83%,-71.30%,Solomon Islands,750
PW,"December 14, 2021",7,-1.63%,-84.36%,Palau,482
PG,"December 14, 2021",1,0.79%,42.29%,Papua New Guinea,44326
NR,"December 14, 2021",8,38.41%,-66.49%,Nauru,382
MH,"December 14, 2021",6,28.86%,-57.26%,Marshall Islands (the),518
FM,"December 14, 2021",5,-29.57%,-48.49%,Micronesia (Federated States of),562
FJ,"December 14, 2021",2,7.47%,-53.26%,Fiji,15401
WS,"December 15, 2021",9,-59.76%,-93.99%,Samoa,340
VU,"December 15, 2021",3,-6.79%,-58.10%,Vanuatu,3570
TV,"December 15, 2021",11,,0.00%,Tuvalu,128
TO,"December 15, 2021",10,0.00%,-91.77%,Tonga,302
SB,"December 15, 2021",4,420.83%,-72.86%,Solomon Islands,750
PW,"December 15, 2021",6,-25.62%,-84.36%,Palau,482
PG,"December 15, 2021",1,3.18%,42.71%,Papua New Guinea,44895
NR,"December 15, 2021",8,-5.94%,-57.21%,Nauru,380
MH,"December 15, 2021",5,165.47%,-36.27%,Marshall Islands (the),738
FM,"December 15, 2021",7,-43.18%,-54.03%,Micronesia (Federated States of),450
FJ,"December 15, 2021",2,5.62%,-51.78%,Fiji,15805
WS,"December 16, 2021",8,-43.24%,-94.33%,Samoa,340
VU,"December 16, 2021",3,-3.45%,-57.28%,Vanuatu,3640
TV,"December 16, 2021",11,0.00%,-50.00%,Tuvalu,64
TO,"December 16, 2021",9,0.00%,-92.34%,Tonga,302
SB,"December 16, 2021",6,81.13%,-79.15%,Solomon Islands,576
PW,"December 16, 2021",5,0.00%,-79.86%,Palau,648
PG,"December 16, 2021",1,0.56%,37.07%,Papua New Guinea,44235
NR,"December 16, 2021",10,-52.08%,-60.06%,Nauru,254
MH,"December 16, 2021",4,165.47%,-24.23%,Marshall Islands (the),738
FM,"December 16, 2021",7,-33.23%,-54.03%,Micronesia (Federated States of),450
FJ,"December 16, 2021",2,2.63%,-52.22%,Fiji,15756
WS,"December 17, 2021",10,-95.78%,-99.39%,Samoa,38
VU,"December 17, 2021",3,-5.33%,-54.63%,Vanuatu,3834
TO,"December 17, 2021",8,0.00%,-92.53%,Tonga,302
SB,"December 17, 2021",6,81.13%,-80.08%,Solomon Islands,576
PW,"December 17, 2021",5,0.00%,-79.86%,Palau,648
PG,"December 17, 2021",1,-2.13%,36.57%,Papua New Guinea,44241
NR,"December 17, 2021",9,-36.18%,-60.19%,Nauru,254
MH,"December 17, 2021",4,165.47%,-35.26%,Marshall Islands (the),738
FM,"December 17, 2021",7,-33.23%,-34.50%,Micronesia (Federated States of),450
FJ,"December 17, 2021",2,5.38%,-51.89%,Fiji,16276
WS,"December 18, 2021",9,-43.24%,-94.63%,Samoa,340
VU,"December 18, 2021",3,8.37%,-51.84%,Vanuatu,4064
TO,"December 18, 2021",10,0.00%,-92.12%,Tonga,302
SB,"December 18, 2021",5,29.00%,-79.38%,Solomon Islands,596
PW,"December 18, 2021",6,-24.38%,-84.66%,Palau,490
PG,"December 18, 2021",1,-1.47%,33.85%,Papua New Guinea,44115
NR,"December 18, 2021",8,-3.02%,-49.61%,Nauru,386
MH,"December 18, 2021",4,165.47%,-19.78%,Marshall Islands (the),738
FM,"December 18, 2021",7,-44.32%,-49.69%,Micronesia (Federated States of),402
FJ,"December 18, 2021",2,16.42%,-47.70%,Fiji,17947
WS,"December 19, 2021",9,-43.24%,-94.49%,Samoa,340
VU,"December 19, 2021",3,10.52%,-51.77%,Vanuatu,4034
TO,"December 19, 2021",10,0.00%,-92.18%,Tonga,302
SB,"December 19, 2021",4,29.00%,-79.38%,Solomon Islands,596
PW,"December 19, 2021",6,-24.38%,-84.49%,Palau,490
